,path,freq
81,paid socialpaid socialpaid socialpaid socialpaid socialpaid socialpaid socialpaid socialpaid socialdirect mailnon paidpurchase,5
82,paid socialpaid socialpaid socialpaid socialpaid socialpaid socialpaid socialpaid socialdirect mailpurchase,5
83,paid searchpurchase,1170
84,paid searchdirect mailpurchase,315
85,paid searchnon paidpurchase,45
86,paid searchsmspurchase,150
87,paid searchdirect mailorganic searchpaid searchorganic searchdirect mailpurchase,5
88,paid searchorganic searchpurchase,140
89,paid searchpaid searchdisplaydisplaydisplaydisplayorganic searchpurchase,5
90,paid searchpaid searchdirect maildisplaypurchase,5
91,paid searchpaid searchorganic searchorganic searchpurchase,15
92,paid searchdirect maildisplaydisplaydisplaypurchase,5
93,paid searchpaid searchdisplaydisplaydisplaydisplayorganic searchorganic searchpurchase,5
94,paid searchpaid searchpurchase,75
95,direct mailpurchase,1195
96,direct maildirect mailpurchase,630
97,direct mailnon paidpurchase,100
98,direct mailsmspurchase,115
99,direct mailorganic searchpurchase,295
100,direct mailorganic searchorganic searchpurchase,45
101,direct maildisplaypurchase,45
102,Directpurchase,1720
103,Directnon paidpurchase,5
104,Directorganic searchpurchase,5
105,displaypurchase,105
106,organic searchpurchase,835
107,organic searchsmspurchase,70
108,smspurchase,455
109,non paidpurchase,220
110,organic searchpaid searchpaid searchdirect mailpurchase,15
111,organic searchpaid searchpaid searchpaid searchemailnon paidpurchase,5
112,emailemailemailemailorganic searchdirect mailpurchase,5
113,organic searchdirect mailemailemailemaildirect maildirect mailemailemailorganic searchpurchase,5
114,direct mailemailpurchase,250
115,organic searchpaid searchdirect mailnon paidpurchase,5
116,organic searchdirect mailnon paidpurchase,5
117,organic searchpaid searchdirect mailpurchase,25
118,organic searchdirect mailemailemailpurchase,5
119,organic searchdirect mailpurchase,125
120,organic searchdirect mailemailpurchase,5
121,organic searchnon paidnon paidpurchase,10
122,paid searchdirect maildisplaypurchase,20
123,paid searchpaid searchsmspurchase,10
124,paid searchemailemailpurchase,15
125,paid searchdisplaydisplaysmspurchase,5
126,direct maildisplaydirect maildisplaypurchase,15
127,direct maildisplaydisplayemailemailpurchase,5
128,direct mailemailemailpurchase,80
129,displaydisplaypurchase,10
130,non paidnon paidpurchase,10
131,organic searchpaid searchpurchase,140
132,organic searchnon paidemailpurchase,5
133,organic searchnon paidemailemailemailemailemailemailemailemailpurchase,5
134,organic searchemailemailpurchase,25
135,organic searchpaid searchpaid searchpurchase,35
