,path,freq
379,emailemailemailpaid searchpaid searchdisplaypurchase,5
380,paid searchorganic searchorganic searchpurchase,15
381,paid searchpaid searchpaid searchdisplayorganic searchorganic searchpurchase,5
382,paid searchpaid searchorganic searchdisplaypurchase,5
383,paid searchpaid searchpaid searchorganic searchpurchase,20
384,paid searchpaid searchpaid searchpaid searchorganic searchdisplaydisplaydisplayorganic socialpurchase,5
385,paid searchemailpaid socialpurchase,10
386,paid searchnon paidsmspurchase,5
387,paid searchpaid searchpaid searchpaid searchorganic searchorganic searchdirect maildirect mailpurchase,5
388,paid searchpaid searchpaid searchdirect maildirect mailorganic searchorganic searchpurchase,5
389,paid searchdirect maildirect mailpurchase,75
390,paid searchpaid searchdisplaydisplaydisplayemailpurchase,5
391,paid searchpaid searchpaid searchorganic searchorganic searchorganic searchorganic searchorganic searchorganic searchorganic searchorganic searchdisplaydisplaydisplaydisplaydisplaydisplaydisplaydisplayemailemaildirect maildirect mailpurchase,5
392,paid searchorganic searchemailemailemailpurchase,5
393,paid searchemailemailemailemailemaildirect mailpaid searchemailemailemailemailemaildirect mailpurchase,5
394,paid searchemailemailemailemailemailpurchase,10
395,paid searchpaid searchpaid searchpaid searchorganic searchorganic searchorganic searchorganic searchdisplaydirect mailpurchase,5
396,paid searchpaid searchemailemailpurchase,5
397,paid searchdisplaydisplaydisplaydisplaydisplaydisplaydisplaydisplaydisplaydisplaydisplaydisplaydisplaydirect mailpurchase,5
398,paid searchorganic searchemailemailemailemaildirect mailnon paidorganic searchdirect mailemailemailemailemailpaid searchnon paidpurchase,5
399,paid searchemailemailemailemaildirect mailnon paidpurchase,5
400,paid searchorganic searchdirect mailpurchase,15
401,organic searchorganic searchorganic searchorganic searchemailemaildirect mailpurchase,5
402,organic searchorganic searchemaildirect mailnon paidpurchase,5
403,organic searchemailemailemailemailemailemailemaildirect mailpurchase,5
404,organic searchemailemailemailemailemailemailemailemailpurchase,5
405,displaydisplaydisplayemailemailemailemailemailemailemailsmssmspaid socialpaid socialpurchase,5
406,displaydisplayemailemailemailemailemailemailemailemailemaildirect mailpurchase,5
407,displayemailemailemailemailemailemailemailemailemailemaildirect mailpurchase,5
408,displayemailemailemailemailemailemailemaildirect mailpurchase,5
409,emailemailemailemailemaildirect maildirect mailpurchase,15
410,emaildirect mailsmspurchase,15
411,direct maildirect maildirect mailpurchase,15
412,direct mailpaid socialpaid socialpaid socialpurchase,10
413,non paidnon paidnon paidnon paidpurchase,5
414,smsdirect mailnon paidpurchase,5
415,smsnon paidorganic searchpurchase,5
416,smsdirect mailpurchase,10
417,smsorganic searchpurchase,10
418,smsdirect mailpaid searchpurchase,5
419,direct mailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailpurchase,5
420,emailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemaildirect mailpurchase,5
421,direct mailnon paidorganic searchpaid searchpaid searchpaid searchpaid searchpurchase,5
422,direct mailpaid searchemailemailemailemailemailemailemailemailemailemailemailemailpurchase,10
423,direct mailpaid searchemailemailemailemailemailemailemailemailemailemailemailemaildisplaydisplaydisplaydisplaydisplaydisplaydisplaydisplaypurchase,5
424,direct mailorganic searchemailemailpurchase,10
425,direct maildirect mailnon paidpaid searchemailemailemailemailemailemailemaildisplaydisplaydisplaydisplaypurchase,5
426,direct mailemailemailemailemailemailemailemailemailemailemailemailemailemailemailaffiliatepurchase,5
427,direct mailorganic searchorganic searchpaid searchpaid searchpaid searchpaid searchpaid searchemailemailemailemailemailemailemailemailemailemailemailpaid socialpurchase,5
428,direct mailpaid searchemailpurchase,20
429,direct mailnon paidnon paidnon paidemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailpurchase,5
430,direct mailpaid searchemailemailemailemailemailemailemailemailemailemailpaid socialdisplaypurchase,5
431,direct mailnon paidnon paidorganic searchpaid searchpaid searchpaid searchpurchase,5
432,direct mailemailemailemailemailemailemailpurchase,25
433,direct mailpaid socialpaid socialpurchase,60
434,direct mailorganic searchorganic searchorganic searchdisplaypurchase,5
435,organic searchdirect mailpaid searchpurchase,25
436,direct mailpaid searchpaid searchpaid searchpaid socialpaid socialdisplaydisplaydisplaydisplaypurchase,5
437,direct mailpaid socialpaid socialpaid socialpaid socialpaid socialpaid socialpaid socialorganic socialpurchase,5
438,non paidemailemailemailemailpurchase,10
439,organic searchpaid searchpaid searchorganic searchpurchase,10
440,organic searchemailemailemailemailemailemailpurchase,15
441,organic searchorganic searchorganic searchemailemailemailemailemailemailemailemailemailpurchase,5
442,organic searchorganic searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchdisplaypurchase,5
443,paid searchpaid searchemailemailemailpurchase,5
444,paid searchemailemailemailpurchase,5
445,paid searchpaid searchemailemailemailemailemailemailemaildisplaypurchase,5
446,paid searchemaildisplaydisplaypurchase,5
447,emailemailemailemailemailemailemailemailemailemailemailemailemailpurchase,5
448,emailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailpurchase,5
449,emailemailemailemailemailpurchase,15
450,emailpaid socialpurchase,5
451,paid socialpaid socialdisplaypurchase,20
452,paid socialpaid socialorganic socialpurchase,5
453,paid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchorganic searchorganic searchorganic searchorganic searchorganic searchorganic searchorganic searchorganic searchorganic searchorganic searchorganic searchorganic searchorganic searchorganic searchorganic searchorganic searchorganic searchorganic searchorganic searchorganic searchorganic searchorganic searchorganic searchorganic searchorganic searchorganic searchemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailsmssmspurchase,5
454,paid searchorganic searchemailemailsmspurchase,5
455,paid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchdisplaydisplaydisplaydisplayorganic searchorganic searchorganic searchorganic searchorganic searchdirect mailpurchase,5
456,paid searchpaid searchdirect mailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailpaid socialpurchase,5
457,paid searchpaid searchorganic searchdirect mailemailemailemailemailemailemailemailemailpurchase,5
458,paid searchpaid searchorganic searchemailemailemailemailemailemailemailpurchase,5
459,paid searchdirect mailemailnon paidpurchase,10
460,paid searchpaid searchdirect mailnon paidpurchase,10
461,paid searchemailemailpaid searchemailemailpurchase,5
462,paid searchdisplayorganic searchdirect mailpurchase,5
463,paid searchpaid searchpaid searchorganic searchemailemailemailemailemailemailemailemailemailemailemailemailemailnon paidnon paidpurchase,5
464,paid searchpaid searchpaid searchpaid searchorganic searchorganic searchpurchase,5
465,paid searchdirect mailemailemailemailpurchase,15
466,paid searchdirect mailemailpurchase,15
467,paid searchpaid searchpaid searchpaid searchpaid searchpaid searchdirect mailpurchase,5
468,paid searchdirect mailemailemailemailemailpurchase,5
469,displayorganic searchpurchase,5
470,displaydisplaypaid socialpaid socialpaid socialpurchase,10
471,organic searchdirect mailemailemailemailemailemailemailemailsmsemailemailemailemailemailemailemailorganic searchsmsdirect mailpurchase,5
472,organic searchorganic searchsmspurchase,5
473,direct maildirect maildirect mailemailemailemailemailpurchase,5
474,direct mailorganic socialpurchase,10
475,direct mailemailemailemailemailemailemailemailpurchase,10
476,direct mailemailnon paidpurchase,15
477,direct mailemailemailemailemailemailemailemailemailemailemailemailpurchase,5
478,direct mailemailemailemailpaid socialpurchase,5
479,emaildirect mailpaid socialpurchase,5
480,direct mailemailemailemailemailemailemailemailemailemailemailemailemailemailpurchase,5
481,emailemailemailemailemailemailemailemailemailemailemailemaildirect mailpurchase,5
482,direct maildirect mailemailpurchase,80
483,direct mailemailemailemailemailemailemailemailemailemailemailpurchase,15
484,emailemailemailsmspurchase,15
485,emailemailemailemailemailemailemailemailemailsmspurchase,5
486,paid socialnon paidpurchase,10
487,direct mailorganic searchpaid searchemailemaildisplaydisplaypurchase,5
488,direct mailpaid socialorganic socialpurchase,15
489,direct mailpaid socialpaid socialpaid socialpaid socialpaid socialpaid socialpurchase,5
490,direct mailemailsmsnon paidpurchase,5
491,direct mailpaid searchsmspurchase,10
492,direct maildirect mailorganic searchpurchase,115
493,direct mailpaid searchemailemailemaildirect maildirect mailpaid searchpurchase,5
494,direct mailemailemailemaildisplaypaid socialpaid socialorganic socialorganic socialpurchase,5
495,direct mailpaid searchpaid searchpurchase,15
496,direct mailorganic searchorganic searchemailemailemailemailemailemailemailemailemailemailemailnon paidpurchase,5
497,direct mailpaid searchnon paidpurchase,10
498,direct mailpaid searchemailemailemailpurchase,10
499,direct mailpaid searchpaid searchemailemailemailemailemailemailemailemailemaildisplaydisplaydisplaypurchase,5
500,direct mailpaid searchemailemailemailemailemailemailemailemailpurchase,5
501,direct mailpaid searchemaildisplaypurchase,5
502,direct mailemailsmspurchase,15
503,direct maildirect mailorganic searchorganic searchpurchase,25
504,direct mailemailemailemailemailemaildisplaypurchase,5
505,direct mailpaid searchpaid searchdisplaydisplaypurchase,5
506,direct mailpaid searchpaid searchdisplaydisplaydisplaypurchase,5
507,direct mailorganic searchorganic searchorganic searchorganic searchorganic searchemailemailemailemailemailemailemailemailemailemaildisplaydisplaypurchase,5
508,organic searchnon paidpurchase,35
509,organic searchpaid searchpaid searchpaid searchpaid searchpaid searchpurchase,5
510,organic searchpaid searchpaid searchpaid searchpaid searchpurchase,10
511,organic searchpaid searchpaid searchpaid searchemailemailemailemailemailemailpurchase,5
512,organic searchpaid searchpaid searchpaid searchpaid searchemailemailsmspurchase,5
513,organic searchemailorganic searchemailpurchase,5
514,emailemaildisplaydisplaypurchase,5
515,smsDirectpurchase,5
516,paid searchpaid searchsmsemailpurchase,5
517,paid searchemailemailemaildirect mailpurchase,10
518,paid searchsmsorganic searchpurchase,5
519,paid searchpaid socialpurchase,15
520,paid searchpaid searchemailemailemailemaildirect maildirect maildirect mailemailemailemailemailpaid searchpurchase,5
521,paid searchemailemailemailemaildirect mailpurchase,10
522,paid searchemaildirect maildisplaypurchase,5
523,direct maildirect mailpaid searchpurchase,125
524,paid searchemailorganic searchpurchase,5
525,smsemailemailemailemailemailemailpurchase,5
526,emaildirect maildisplaydisplayorganic searchnon paidpurchase,5
527,emailemailemailemailemailemailemaildirect maildisplaypurchase,5
528,emailemailemailemailemaildirect maildisplaydisplaydisplaydisplaypurchase,5
529,emailemailemailemailemailemailemailemailemailemailemaildirect mailorganic searchpaid socialpaid socialpaid socialpaid socialpurchase,5
530,emailemailemailorganic searchpurchase,15
531,emaildirect mailorganic searchorganic searchorganic socialpurchase,5
532,emailemailemaildirect maildirect maildirect mailpurchase,5
533,emailorganic searchpurchase,45
534,emailemailemailemailemaildirect mailorganic searchpurchase,5
535,direct mailpaid socialpaid socialpaid socialpaid socialnon paidorganic socialpurchase,5
536,direct mailpaid socialpaid socialpaid socialpaid socialpaid socialpurchase,15
537,displaypaid socialpaid socialpaid socialorganic socialpurchase,5
538,paid socialpaid socialnon paidorganic socialorganic socialpurchase,5
539,paid socialpaid searchsmspurchase,5
540,paid socialpaid searchpaid searchpaid searchorganic searchpurchase,5
541,paid socialdisplaydisplaypurchase,5
542,paid socialpaid socialpaid socialpaid socialpaid socialpaid socialpaid socialpaid socialpaid socialpaid socialpaid socialpaid socialdisplaypurchase,5
543,paid socialpaid socialemailemailemaildirect maildirect mailorganic searchorganic socialpurchase,5
544,paid socialpaid socialpaid socialemailemailemailemailemaildirect maildirect mailpurchase,5
545,paid socialpaid socialpaid socialpaid socialdirect maildirect mailpurchase,5
546,paid socialpaid socialpaid socialdirect maildirect mailpurchase,5
547,emailemailemaildirect maildirect mailpurchase,50
548,emailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemaildirect maildirect mailnon paidnon paidpurchase,5
549,emailemaildirect maildirect maildirect mailnon paidpurchase,5
550,emaildirect maildirect mailorganic searchpurchase,15
551,emailemailemailemailemailemailemaildirect maildirect mailnon paidpurchase,15
552,emailemailemailemailemailemailemailemaildirect maildirect maildirect maildisplaydisplaydisplaydisplaydisplayorganic searchorganic searchpurchase,5
553,emailpaid searchnon paidpurchase,5
554,emaildirect maildirect mailsmspurchase,25
555,emailemailemailorganic searchnon paidpurchase,5
556,emailemailemailemailemailemailemailemailemaildirect maildirect maildirect maildirect mailorganic searchpurchase,5
557,emailemailemailemailemailemailemailemaildirect maildirect maildirect maildirect mailorganic searchpurchase,5
558,emailemailemailemailemailemailemailemailemailemailemailemailemailemaildirect maildirect mailpurchase,5
559,emailemailemailemailemailemailemailemailemailemailemailemailemailemailpaid searchpaid searchdisplayorganic searchpurchase,5
560,emailemailemailemailemailemailemailemailemailemailemailemailemailpaid searchpaid searchpaid searchnon paidnon paidnon paidnon paidpurchase,5
561,emailpaid searchorganic searchpurchase,5
562,emailemailemailpaid searchdirect maildirect mailemailemailemailpaid searchdirect maildirect mailemailemailemailpaid searchdirect maildirect mailpurchase,5
563,emailpaid searchdirect maildirect maildisplayorganic searchorganic searchpurchase,5
564,emailemailemailemaildirect maildirect maildisplaynon paidnon paidpurchase,5
565,emailemailemailemailemaildirect maildirect maildisplaydisplayorganic socialpurchase,5
566,emailemailpaid searchdirect maildirect maildirect maildirect mailorganic searchorganic searchorganic searchpurchase,5
567,paid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchemailemailemailemailemailemailemailemailemailemailemaildirect mailorganic searchorganic searchsmsdisplaydisplaypurchase,5
568,emailemailemailemailemailemailemailemailemailemailemailpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchdirect maildirect maildisplaydisplayorganic searchorganic searchorganic searchsmspurchase,5
569,emaildirect maildirect maildisplaypurchase,10
570,emailemaildirect maildirect mailnon paidpurchase,5
571,emailemailemailemaildirect maildirect mailnon paidpurchase,5
572,emailemailemailemailemailemailemaildirect maildirect mailorganic searchpurchase,5
573,emailemailpaid searchsmspurchase,5
574,emailaffiliateaffiliateaffiliatepurchase,5
575,paid searchpaid searchdirect maildisplaydisplaypurchase,5
576,paid searchpaid searchpaid searchdirect maildirect mailorganic searchpurchase,5
577,paid searchdirect maildirect mailnon paidpurchase,5
578,paid searchpaid searchorganic searchorganic searchorganic searchorganic searchnon paidpurchase,5
579,paid searchpaid searchdirect maildirect mailorganic searchorganic searchpurchase,5
580,paid searchdirect maildirect mailorganic searchpurchase,10
581,paid searchpaid searchdirect maildirect maildisplaydisplaydisplaypurchase,5
582,paid searchpaid searchdirect maildirect maildirect maildirect mailsmspurchase,5
583,paid searchdirect maildirect maildisplayorganic searchpurchase,5
584,paid searchdirect maildirect maildisplaypurchase,5
585,paid searchdirect maildirect mailorganic searchorganic searchorganic searchpurchase,5
586,paid searchdirect maildirect maildisplaydisplaynon paidpurchase,5
587,direct maildirect mailsmspurchase,30
588,direct maildirect maildisplaydirect maildirect maildisplaypurchase,5
589,direct maildirect maildirect maildirect mailpurchase,50
590,direct maildirect maildisplaydisplayorganic searchnon paidnon paidpurchase,5
591,direct maildirect mailnon paidpurchase,40
592,direct maildirect mailorganic searchorganic searchorganic searchpurchase,5
593,organic socialpurchase,25
594,emailemailemailorganic searchpaid searchdirect maildirect mailpurchase,10
595,emailemailemailemailemailemaildirect maildirect mailpurchase,5
596,emailemailemailemailemailemailemailemailemailemailemaildirect maildirect mailpurchase,5
597,emailemailemailemailemailemailemailemailemailemailemailemailorganic searchdirect maildirect mailpurchase,5
598,emailemailemailemailorganic searchdirect maildirect mailnon paiddisplaypurchase,5
599,emailemailemailemailemailemailemailemailemaildirect maildirect mailnon paidpurchase,5
600,emailemailemailemailpaid searchdirect maildirect mailpurchase,5
601,emailemailemaildirect maildirect mailnon paidsmspurchase,5
602,emailemailemailemailemailemailemailpaid searchdirect maildirect maildirect maildirect maildisplaypurchase,5
603,emailemailemailemaildirect maildirect maildisplaypurchase,5
604,emailemailemaildirect maildirect mailsmspurchase,5
605,emailemailemailemailemailemailemailemailemailemailpaid searchdirect maildirect mailpurchase,5
606,emailemailemailemailemailemailemailpaid searchdirect maildirect mailnon paidpurchase,5
607,emailemailemailemailemailemailemailemailpaid searchdirect maildirect maildirect maildirect mailpurchase,5
608,emailemailemailemailemailemailemailemailemailemailemailemailpaid searchdirect maildirect maildisplaydisplaypurchase,5
609,emailemailemailemailemailemailemailemailemailemailemailemailemailemailpaid searchdirect maildirect mailpurchase,5
610,emailemailemailemailemaildirect maildirect mailorganic socialpurchase,5
611,emailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemaildirect maildirect mailpurchase,5
612,emailemailemailemailemailemaildirect maildirect maildirect maildirect mailpurchase,5
613,emailemailemailemailemailemailemailpaid searchpaid searchdirect maildirect maildisplaydisplaydisplaydisplaydisplaypurchase,5
614,emailemailorganic searchpaid searchpaid searchpurchase,5
615,emailemailemailemailemaildirect maildirect mailpaid socialpaid socialdisplaypurchase,5
616,emailemailemailemailemailorganic searchpaid searchpaid searchdirect maildirect maildirect maildirect mailpurchase,5
617,emailemailemailemailemailemaildirect maildirect mailsmspurchase,5
618,emailemailemailemailemailemaildirect maildirect maildisplaydisplaypurchase,5
619,emailemailemailemailemailemailemailemailemailorganic searchdirect maildirect mailpurchase,5
620,emailemailemailemailemailemailemailsmspurchase,5
621,emailemailemailemailemailemailsmspurchase,5
622,emailemailemailpaid searchdirect maildirect mailpurchase,5
623,emailemailemailemailemaildirect maildirect maildirect maildirect maildirect maildirect maildirect mailpurchase,5
624,emailemailemaildirect maildirect maildirect maildirect mailnon paidpaid socialpaid socialpaid socialdisplaypurchase,5
625,emailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemaildirect maildirect mailpurchase,5
626,emailemailpaid searchpaid searchdirect maildirect maildisplaypurchase,5
627,emailemailemailemailemailemailpurchase,10
628,emailemailemailnon paidpaid socialpurchase,5
629,emaildirect maildirect maildirect maildirect mailpurchase,20
630,emailorganic searchorganic searchpaid searchpurchase,5
631,emaildirect maildirect maildirect maildirect maildirect maildirect mailpurchase,5
632,emailemailorganic searchdirect maildirect mailpaid socialpurchase,5
633,emailaffiliatepurchase,5
634,organic searchorganic searchorganic searchdirect maildirect maildirect mailnon paidpurchase,5
635,organic searchpaid searchpaid searchdirect maildirect maildirect maildirect mailpurchase,5
636,organic searchdirect maildirect mailpurchase,45
637,organic searchpaid searchpaid searchsmspurchase,5
638,organic searchdirect maildirect mailsmspurchase,10
639,organic searchpaid searchnon paidpurchase,5
640,paid searchpaid searchnon paidaffiliatepurchase,5
641,paid searchdirect maildirect mailpaid socialpurchase,5
642,paid searchpaid searchdisplaydisplaypurchase,5
643,paid searchdirect maildirect mailsmspurchase,5
644,direct maildirect mailnon paidnon paidpurchase,15
645,direct maildirect mailpaid socialpaid socialpurchase,10
646,direct maildirect mailpaid socialpaid socialpaid socialpaid socialpurchase,5
647,direct maildirect mailpaid socialpurchase,10
648,direct maildirect maildisplaydisplaypurchase,10
649,direct maildirect mailpaid socialpaid socialpaid socialpaid socialpaid socialdisplaydisplaypurchase,5
650,paid socialpaid socialpaid socialpaid socialpaid socialpaid socialpaid socialpurchase,5
651,direct maildirect maildirect maildirect mailorganic searchpurchase,5
652,direct maildirect mailemailemailemailemailemailemailpurchase,5
653,direct maildirect mailemailemailemailemailorganic searchpurchase,5
654,direct maildirect mailemailemailemailemailemailemailemailemailemailemailemailemailemailorganic searchpurchase,5
655,direct maildirect maildirect maildirect mailpaid searchpaid searchemailemailemailemailemailemailemailemailemailemailsmspurchase,5
656,direct maildirect mailemailemailemailpurchase,20
657,direct maildirect mailnon paidemailemailemailemailorganic searchorganic searchpurchase,5
658,direct maildirect mailnon paidorganic searchdisplaypurchase,5
659,direct maildirect mailpaid searchpaid searchorganic searchpurchase,10
660,direct maildirect mailemailemailpurchase,40
661,direct maildirect mailpaid searchpaid searchsmspurchase,5
662,direct maildirect maildisplaypurchase,10
663,direct maildirect mailemailemailorganic searchorganic searchorganic searchpurchase,5
664,direct maildirect mailemailemailorganic searchorganic searchpurchase,5
665,direct maildirect mailpaid searchemailemailemailemailemailemailemailemailemailpurchase,5
666,direct maildirect mailnon paidnon paidemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailpurchase,5
667,direct maildirect mailemailemailemailemailsmssmsdisplaydisplaydisplayorganic socialpaid socialpaid socialpurchase,5
668,direct maildirect mailemailemailemailemailpurchase,5
669,direct maildirect mailpaid searchpaid searchpaid searchpaid searchpaid searchemailemailemailemailorganic searchpurchase,5
670,direct maildirect mailpaid searchpaid searchpaid searchpaid searchorganic searchpurchase,5
671,direct maildirect mailpaid socialpaid socialpaid socialpurchase,5
672,direct maildirect mailnon paidnon paiddisplaypurchase,5
673,direct maildirect mailemailemailemailemailemailemailemailemailemailemaildisplaydisplaypurchase,5
674,direct maildirect maildirect mailorganic searchdirect maildirect maildirect mailorganic searchpurchase,5
675,direct maildirect mailemailemailemailemailemailemailemailpurchase,5
676,direct maildirect maildirect maildisplaydisplaydisplaydisplaydisplaypaid socialpaid socialpaid socialpaid socialpaid socialpurchase,5
677,direct maildirect mailemailemailemailemailemailpurchase,5
678,direct maildirect mailnon paidemailemailemailemailemailemailsmspurchase,5
679,emailemaildirect mailsmspurchase,10
680,direct maildirect mailnon paidemailemailpurchase,5
681,direct maildirect mailpaid searchnon paidemailpurchase,5
682,direct maildirect mailemailemailsmspurchase,5
683,direct maildirect mailpaid searchemailpurchase,5
684,direct maildirect mailnon paidnon paidemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailorganic searchorganic searchorganic searchorganic searchorganic searchpurchase,5
685,paid searchpaid searchnon paidnon paidnon paidemailorganic searchpurchase,5
686,paid searchpaid searchpaid searchpaid searchpaid searchpaid searchpurchase,5
687,paid searchpaid searchpaid searchpaid searchpaid searchorganic searchsmspurchase,5
688,organic searchpaid searchpaid searchpaid searchpaid searchsmsorganic searchsmspaid searchpaid searchpaid searchpaid searchpurchase,5
689,paid searchpaid searchnon paidsmspurchase,5
690,paid searchemailemailemailemailemailemailemailemailorganic searchdisplayaffiliatepurchase,5
691,emailemailemailemailemaildisplaypurchase,5
692,direct maildirect maildirect maildirect maildirect maildirect mailemailemailemailemailpaid searchpaid searchpaid searchdisplaydisplaypurchase,5
693,direct maildirect mailpaid searchsmspurchase,10
694,direct maildirect mailorganic searchsmspurchase,15
695,direct maildirect maildirect maildirect maildirect mailpurchase,10
696,direct maildirect mailemailemailpaid socialpurchase,5
697,direct maildirect mailorganic searchemailemailemailpaid searchpaid searchpurchase,5
698,direct maildirect maildirect maildirect mailemailemailemailemailemailemailemailemailpaid searchpurchase,5
699,direct maildirect mailemailpaid socialpurchase,5
700,direct maildirect mailorganic searchemailpurchase,5
701,direct maildirect mailorganic searchpaid searchpaid searchpurchase,5
702,direct maildirect mailorganic searchemailemailemailemailemailemailemailemailemailpurchase,5
703,direct maildirect mailorganic searchorganic searchorganic searchorganic searchemailemailemailemailemailemailemailemailpurchase,5
704,direct maildirect mailemailpaid searchpurchase,10
705,direct maildirect mailorganic searchorganic searchemailemailpaid searchpaid searchnon paidpurchase,5
706,direct maildirect mailorganic searchemailemailemailemailemailemailemailemailemailemailemailemailpaid searchpurchase,5
707,direct maildirect maildirect mailorganic searchorganic searchpurchase,5
708,direct maildirect mailorganic searchemailemailemailemailemailemailemailemailemailpaid searchdisplaysmspurchase,5
709,direct maildirect mailemailemailemailemailemailemailemailemailpurchase,5
710,direct maildirect mailorganic searchorganic searchorganic searchdisplaypurchase,5
711,direct maildirect mailemailemailemailemailemailemailemailemailemailemailemailpaid searchnon paidpurchase,5
712,direct maildirect mailorganic searchorganic searchemailpaid searchpurchase,5
713,direct maildirect mailorganic searchemailemailemailemailemailpurchase,5
714,direct maildirect mailemailemailemailemailemailsmspurchase,5
715,direct maildirect mailorganic searchorganic searchorganic searchorganic searchorganic searchorganic searchorganic searchorganic searchemailemailemailemailemailemailemailemailemailpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchnon paidpurchase,5
716,emailemailemailemailemailemailemailemailpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchdirect mailorganic searchorganic searchorganic searchorganic searchorganic searchorganic searchorganic searchnon paidpurchase,5
717,direct maildirect mailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailpurchase,5
718,organic searchorganic searchorganic searchorganic searchorganic searchemailemailemailpurchase,5
719,organic searchemailemailemailpaid searchsmspurchase,5
720,organic searchorganic searchorganic searchpaid searchpaid searchnon paidpurchase,5
721,organic searchorganic searchpaid searchorganic searchorganic searchpaid searchpurchase,5
722,emailemailemailemailemailemailemailpurchase,20
723,emailemailemailemailemailsmsnon paidemailemailemailemailemailnon paidsmspurchase,5
724,emailemailnon paidpurchase,5
725,displaypaid socialpaid socialpaid socialpaid socialpaid socialorganic socialorganic socialpurchase,5
726,smsnon paidpurchase,5
727,paid socialorganic socialpurchase,20
728,smsemailpurchase,10
729,smsdirect maildirect mailpaid searchpurchase,5
730,smsemailemailemailemaildirect maildirect maildirect maildirect mailpurchase,5
731,smspaid searchpaid searchpurchase,10
732,smssmsemailemailemaildirect maildirect mailemailemailemaildirect mailsmssmsnon paidpurchase,5
733,smsemaildirect maildirect mailpurchase,5
734,smsdirect maildirect mailpurchase,10
735,smsemailemaildirect maildirect mailpurchase,5
736,emailemailemailemailemailemailemailemailemailemailemailemailorganic searchnon paiddirect maildirect mailpaid searchpurchase,5
737,paid searchpaid searchpaid searchemaildirect mailorganic searchorganic searchpurchase,5
738,emailorganic searchorganic searchorganic searchdirect maildirect mailpaid searchpaid searchpaid searchpaid searchpurchase,5
739,emailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemaildirect maildirect mailpurchase,5
740,emailemailemailemailemailorganic searchnon paidpurchase,5
741,emailorganic searchdirect maildirect mailpurchase,10
742,emailemailorganic searchorganic searchdirect maildirect mailpaid searchpaid searchdisplaypurchase,5
743,emailemailemailemailemailnon paidpaid searchpaid searchpurchase,5
744,emailemailemailemailemailemailemailemailemaildirect maildirect mailpurchase,5
745,emaildirect maildirect mailpaid searchpurchase,20
746,organic searchdirect maildirect mailpaid searchpaid searchpurchase,5
747,organic searchdirect maildirect mailpaid searchpurchase,5
748,organic searchorganic searchnon paidpaid searchpurchase,5
749,paid socialpaid socialpaid socialpaid socialpaid socialpaid socialpurchase,10
750,paid socialpaid socialpaid socialpaid socialdisplaypurchase,5
751,emailemailemailemailemailorganic searchpaid socialpurchase,5
752,emailemailemailemailemaildirect maildirect mailnon paidsmspurchase,5
753,emailemailemailemailemaildirect maildirect mailpaid searchpurchase,5
754,emailemailpaid socialsmspurchase,5
755,emailemaildirect maildirect mailpaid socialpurchase,5
756,emaildirect maildirect mailpaid searchdisplaypurchase,5
757,emailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemaildirect maildirect mailnon paidpaid searchpaid searchorganic searchpurchase,5
