,path,freq
124,organic searchorganic searchpaid searchpaid searchpaid searchpaid searchpaid searchpaid searchdisplaypurchase,5
125,paid searchemailemailemailpurchase,5
126,paid searchemaildisplaydisplaypurchase,5
127,emailemailemailemailemailpurchase,5
128,paid socialpaid socialdisplaypurchase,15
129,paid socialpaid socialorganic socialpurchase,5
130,paid searchorganic searchemailemailsmspurchase,5
131,paid searchpaid searchpaid searchpaid searchorganic searchorganic searchpurchase,5
132,displaydisplaypaid socialpaid socialpaid socialpurchase,5
133,direct maildirect mailemailpurchase,5
134,emailemailemailemailemailemailemailemailemailsmspurchase,5
135,paid socialnon paidpurchase,10
136,direct maildirect mailorganic searchpurchase,10
137,direct mailpaid searchemaildisplaypurchase,5
138,organic searchnon paidpurchase,20
139,organic searchemailorganic searchemailpurchase,5
140,emailemaildisplaydisplaypurchase,5
141,paid searchsmsorganic searchpurchase,5
142,paid searchpaid socialpurchase,15
143,direct maildirect mailpaid searchpurchase,15
144,smsemailemailemailemailemailemailpurchase,5
145,emailorganic searchpurchase,15
146,direct mailpaid socialpaid socialpaid socialpaid socialpaid socialpurchase,5
147,paid socialpaid searchsmspurchase,5
148,paid socialpaid socialpaid socialdirect maildirect mailpurchase,5
149,emailemailemaildirect maildirect mailpurchase,10
150,emailpaid searchnon paidpurchase,5
151,emaildirect maildirect mailsmspurchase,5
152,emailemailemailorganic searchnon paidpurchase,5
153,emailpaid searchorganic searchpurchase,5
154,paid searchpaid searchorganic searchorganic searchorganic searchorganic searchnon paidpurchase,5
155,direct maildirect mailsmspurchase,10
156,direct maildirect mailnon paidpurchase,15
157,organic socialpurchase,20
158,emailemailemailemailemailemailpurchase,10
159,emailaffiliatepurchase,5
160,organic searchdirect maildirect mailsmspurchase,5
161,organic searchpaid searchnon paidpurchase,5
162,paid searchpaid searchnon paidaffiliatepurchase,5
163,paid searchpaid searchdisplaydisplaypurchase,5
164,direct maildirect mailnon paidnon paidpurchase,10
165,paid socialpaid socialpaid socialpaid socialpaid socialpaid socialpaid socialpurchase,5
166,direct maildirect mailnon paidorganic searchdisplaypurchase,5
167,direct maildirect mailpaid searchpaid searchsmspurchase,5
168,paid searchpaid searchpaid searchpaid searchpaid searchpaid searchpurchase,5
169,paid searchpaid searchnon paidsmspurchase,5
170,paid searchemailemailemailemailemailemailemailemailorganic searchdisplayaffiliatepurchase,5
171,direct maildirect mailorganic searchsmspurchase,5
172,direct maildirect mailemailpaid socialpurchase,5
173,direct maildirect mailorganic searchorganic searchorganic searchorganic searchemailemailemailemailemailemailemailemailpurchase,5
174,direct maildirect mailemailemailemailemailemailsmspurchase,5
175,displaypaid socialpaid socialpaid socialpaid socialpaid socialorganic socialorganic socialpurchase,5
176,smsnon paidpurchase,5
177,paid socialorganic socialpurchase,15
178,smsemailpurchase,5
179,smspaid searchpaid searchpurchase,10
180,smssmsemailemailemaildirect maildirect mailemailemailemaildirect mailsmssmsnon paidpurchase,5
181,smsemailemaildirect maildirect mailpurchase,5
182,emailemailemailemailemailorganic searchnon paidpurchase,5
183,emaildirect maildirect mailpaid searchpurchase,5
184,paid socialpaid socialpaid socialpaid socialpaid socialpaid socialpurchase,10
185,paid socialpaid socialpaid socialpaid socialdisplaypurchase,5
186,emailemailemailemailemailorganic searchpaid socialpurchase,5
187,emailemailpaid socialsmspurchase,5
188,emailemaildirect maildirect mailpaid socialpurchase,5
189,emailemailemailemailemailemailemailemailemailemailpurchase,5
190,emailemailemailemailemailemailemailemailsmspurchase,5
191,emailemaildirect maildirect maildirect mailpurchase,5
192,emailpaid searchdisplaydisplaydisplaydisplaypurchase,5
193,emailemailpaid searchpaid searchorganic searchpurchase,5
194,direct maildirect mailpaid searchpaid searchpaid searchdisplaydisplaypurchase,5
195,paid searchpaid searchorganic searchorganic searchpaid searchpaid searchpurchase,5
196,paid searchdisplaydisplaypurchase,5
197,paid socialpaid socialsmspurchase,5
198,organic searchpaid socialpurchase,20
199,organic searchorganic searchorganic searchpaid searchpaid searchpaid searchpaid searchpurchase,5
200,non paidpaid searchnon paidpaid searchpurchase,5
201,paid searchpaid searchpaid searchdisplaydisplaypurchase,5
202,emailemailpaid searchpaid searchdirect mailorganic searchorganic searchpurchase,5
203,paid searchpaid searchpaid searchsmssmspurchase,5
204,paid searchsmsorganic searchorganic searchpurchase,5
205,paid searchpaid searchdirect mailorganic searchpurchase,5
206,paid searchpaid searchorganic socialdisplaypurchase,5
207,paid searchdirect mailsmsdisplaypurchase,5
208,displaydisplaydisplaypaid socialpaid socialpaid socialpurchase,5
209,direct mailemailemailemailemailemailemailemailemailsmspurchase,5
210,organic searchemailemailsmssmspurchase,5
211,organic searchpaid searchemailpurchase,5
212,organic searchpaid searchnon paiddisplaypurchase,5
213,paid searchpaid searchpaid searchpaid searchpurchase,5
214,emailemailemailemailnon paidnon paidpurchase,5
215,organic searchpaid searchpaid searchpaid searchpurchase,5
216,non paidnon paidnon paidpaid socialpaid socialpaid socialpaid socialorganic socialorganic socialorganic socialorganic socialpurchase,5
217,organic socialorganic socialpurchase,5
218,emaildirect mailorganic searchorganic searchpurchase,5
219,emaildisplaypurchase,5
220,paid searchpaid searchorganic searchnon paidpurchase,5
221,displaypaid socialpaid socialpaid socialpaid socialpurchase,10
222,paid searchpaid searchorganic searchdisplaydisplaypurchase,5
223,paid searchpaid searchpaid searchdisplaydisplaydisplaypurchase,5
224,organic searchnon paiddisplaypurchase,5
225,emailemailemailorganic socialpurchase,5
226,emailemailemailemaildirect mailnon paidsmspurchase,5
