,uid,time_to_purchase,total_events,path,new_to_file
3415,rbos-5898a815-1f52-41db-894b-2607d0508dce,17049882.0,23,direct mailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailnon paiddisplaydisplaypurchase,0
3416,rbos-937e03ce-3f0d-45a6-89a0-8ec33e39ccd7,0.0,1,direct mailpurchase,0
3417,rbos-4e763625-e3e7-46ff-9938-a5bf1b70fcf3,1013255.0,2,direct mailpaid searchpurchase,0
3418,rbos-a79033ff-b3a7-4b07-9cd4-453aaded6c93,0.0,2,direct maildirect mailpurchase,0
3419,rbos-294f2a46-1b93-4f65-99e2-6c8c76bc6d7f,0.0,2,direct mailemailpurchase,0
3420,rbos-5c1b87d7-1604-4caf-9dd4-22fa5903a829,466436.0,4,direct mailemailemailemailpurchase,0
3421,rbos-a3e36489-91b2-42d5-9bfc-d0f9cbb342b0,0.0,1,direct mailpurchase,0
3422,rbos-586f8102-5e62-4598-ab8b-0302e77030d5,1013043.0,2,direct mailemailpurchase,0
3423,rbos-fdbca381-1c96-498b-9cbd-4a7a57507ca7,0.0,1,direct mailpurchase,0
3424,rbos-dbebe661-907d-43ca-90df-1f19a9c510b5,0.0,2,direct mailemailpurchase,0
3425,rbos-badd3037-04b2-42d6-86ab-65405c50ddcc,6858289.0,26,direct mailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailpaid searchdisplaydisplaydisplaypurchase,0
3426,rbos-a7489735-9e29-496f-85d7-bc072cb37bb1,24865952.0,6,direct mailemailemailemailemailnon paidpurchase,0
3427,rbos-061e2e58-d920-4326-ab62-811794cc203e,6065748.0,4,direct mailemailemaildisplaypurchase,1
3428,rbos-98e7574b-12b0-438a-a59b-b437fa27efdb,9851195.0,2,direct mailpaid searchpurchase,1
3429,rbos-9681938b-4a6a-4ee9-8df4-7d1181d6d71f,1007042.0,2,direct mailpaid searchpurchase,0
3430,rbos-20af5714-9ddb-4d55-83be-68cf1c1772a3,1019472.0,6,direct mailemailemailemailemailemailpurchase,1
3431,rbos-d303dd4d-036f-47d8-9aec-ff1ab4ba44ef,1003211.0,3,direct mailemailsmspurchase,0
3432,rbos-34136aae-f54d-49b4-b2d9-71d1daf8af20,1002164.0,2,direct mailemailpurchase,0
3433,rbos-f3e981d8-31e1-4993-bfab-5bda879ec3bd,0.0,2,direct maildirect mailpurchase,0
3434,rbos-bf27fa8f-1385-4a0b-8b1b-f29b0e4f2931,995915.0,2,direct mailnon paidpurchase,0
3435,rbos-485e71fc-e776-46b4-8978-110c3e476d47,0.0,6,direct mailemailemailemailemailemailpurchase,0
3436,rbos-ae651a2b-6655-4744-9f86-3fb71a1f90d6,0.0,1,direct mailpurchase,1
3437,rbos-c3d26587-63f9-40ef-a03c-33b83ff9555c,1014102.0,2,direct mailemailpurchase,0
3438,rbos-a4822b59-170a-4a32-838f-d6c96e9586a1,957536.0,2,direct mailpaid searchpurchase,0
3439,rbos-77f4b1fd-71e6-4b41-82fa-bb2d9af84e6a,0.0,1,direct mailpurchase,0
3440,rbos-95b112a6-9409-47a8-bb67-37c87f3447ba,0.0,1,direct mailpurchase,0
3441,rbos-80ab3116-2481-4c5a-9ce9-7e7fe9131efa,1002495.0,6,emailemailemailemailemailemailpurchase,1
3442,rbos-781cb930-a626-40df-96c4-b560b1cd4edd,0.0,1,emailpurchase,1
3443,rbos-ee97cdac-80e6-4ec6-8586-ef3aa81fb010,0.0,1,emailpurchase,0
3444,rbos-e7884fc1-47ab-4320-8c95-98f8a7bd53ce,9511.0,4,emailemaildisplaypaid socialpurchase,1
3445,rbos-7776487f-18e7-407b-b010-00485fae127c,0.0,1,emailpurchase,0
3446,rbos-dbcac211-c7cc-4a32-96c5-b7bfb918bbdf,0.0,1,emailpurchase,1
3447,2288393240404966742,0.0,1,emailpurchase,1
3448,rbos-34c4f21b-45b5-473b-b3b7-f25795126eb7,-3041.0,12,emailemailemailemailemailemailemailemailemailemailemailemailpurchase,0
3449,rbos-c5aa210a-b4da-4e38-9745-c9f3ea4151d7,0.0,1,emailpurchase,0
3450,rbcr-e25d0198-d037-4ea9-a369-0344ebf04ffa,7178796.0,2,emaildisplaypurchase,0
3451,rbos-05e0ab1a-3d3f-4278-9323-7bfa2b6e55ff,7273701.0,4,emailemailemailaffiliatepurchase,0
3452,rbos-50eaa2a1-909b-4718-9b56-853cb767daf8,0.0,1,emailpurchase,1
3453,rbos-00545db0-77b0-4825-8482-e13b4f60f51f,0.0,1,paid searchpurchase,1
3454,rbos-d91b6393-46f8-4409-a0c5-cd9c6c853510,0.0,1,paid searchpurchase,1
3455,rbos-569741ef-7e38-448f-a95d-bb6526473efd,0.0,1,paid searchpurchase,1
3456,rbos-828c7af2-b3ef-46fd-a1f6-a3c70e08cad7,0.0,1,paid searchpurchase,1
3457,rbos-81e162cf-1ae2-41e2-8752-5dabb17d4072,-492683.0,2,paid searchdisplaypurchase,0
3458,rbos-42200c4f-fe95-46f5-835c-f2f2cea2a0d9,0.0,1,non paidpurchase,1
3459,rbos-c98f0fa3-077e-4046-9361-07a65a8e3109,47446.0,2,non paidsmspurchase,1
3460,rbos-37c15d5e-fb09-4984-932e-3010d3f0bd26,0.0,1,displaypurchase,1
3461,rbos-479d5338-bfae-42e4-939f-2aeaec1d9197,24420897.0,2,displaysmspurchase,0
3462,rbos-0b8085e9-c1f8-4f4e-a289-c35b2291dd64,0.0,1,smspurchase,1
3463,rbos-8de26b53-d691-41c5-96ec-ba885d162e2a,0.0,1,smspurchase,1
3464,rbos-4cd9ec56-d43c-4001-a836-ea99834618b4,0.0,1,smspurchase,0
3465,rbos-268921c3-e083-4e44-aba5-d1467117710f,0.0,1,Directpurchase,1
3466,rbos-57fb19c8-99cf-4aed-a690-82a74339996b,0.0,1,Directpurchase,1
3467,rbos-95773820-68f5-4f0f-9827-709531147ef6,0.0,1,Directpurchase,1
3468,rbos-857d48ce-3968-42a9-a2c8-1b4642c1e497,0.0,1,Directpurchase,0
3469,rbos-96f2616e-0eb4-417c-9aba-8e66559a384a,0.0,1,Directpurchase,0
3470,rbos-3fa3eff8-9ebb-4387-a683-6e5e442d9e3c,0.0,1,Directpurchase,1
3471,rbos-8d882a7c-0efa-46c8-82b2-66abc3a700c2,0.0,1,Directpurchase,1
3472,rbos-04508d59-9e72-44c6-858d-2e5bdf9ef982,0.0,1,Directpurchase,0
3473,rbos-4f256cb3-32da-4499-b335-effc5a8b457a,0.0,1,Directpurchase,0
3474,rbos-413fe906-32fa-44da-a723-4a57114e7ebe,0.0,1,Directpurchase,1
3475,rbos-93986948-8cd1-40d6-a832-db88b969c8ba,0.0,1,Directpurchase,0
3476,rbos-ec937adf-b9d2-47e9-b388-86d40cb6b95c,14985199.0,10,paid searchemailemailemailemailemailemailemailemaildirect mailpurchase,0
3477,rbos-2e10b025-05f1-42eb-b4c1-3f07a372777c,4086618.0,3,paid searchemaildirect mailpurchase,0
